rep,seed,method,method_label,m,d,disc_star_mc,disc_R,nn_min,nn_mean,nn_median,phi_q1,phi_q10
0,20251326,random,Random,10,2,0.3553230057544553,2000,0.12692535722277234,0.238371887949953,0.22447669355346164,2.235976207027712,5.404213365305763
0,20251333,random,Random,100,2,0.16216099391781147,2000,0.006784972759301368,0.05250616140719626,0.05017832662053843,2.920516835375825,64.01717998610633
0,20251340,random,Random,1000,2,0.029418415384903196,10000,0.00046384870858844486,0.016132770260007583,0.015521100116599261,2.976157595714481,594.0773793992457
0,20251426,addrec,Additive Recurrence,10,2,0.15812790696353562,2000,0.15989245196477378,0.25831967237531556,0.3120100574971897,2.1224223342251807,4.582844379080147
0,20251433,addrec,Additive Recurrence,100,2,0.03425858268270107,2000,0.022264041779166757,0.024152056868369853,0.02226404177917176,3.0158403544259436,28.74318320391301
0,20251440,addrec,Additive Recurrence,1000,2,0.005992399202006948,10000,0.022264041779120804,0.022324445288125647,0.02226404177915676,2.8862366254913217,24.002906030318687
0,20251526,halton,Halton,10,2,0.18803508930305457,2000,0.20160163305373152,0.25659577661066646,0.23490436061812786,2.1982577245647166,3.662321142627377
0,20251533,halton,Halton,100,2,0.026911433128234186,2000,0.029219921048892147,0.07354236056426036,0.07284979674277077,2.6709733932562556,14.945880728767142
0,20251540,halton,Halton,1000,2,0.004453114384694368,10000,0.0037860909176414613,0.020309863360613585,0.021194576612808772,2.881094779451069,87.60849251630444
0,20251626,sobol,Sobol,10,2,0.1544276548524754,2000,0.13313480951760093,0.2459843421289643,0.28354562607891975,2.2569531936699714,5.358824350398186
0,20251633,sobol,Sobol,100,2,0.02986951438009844,2000,0.023076977385348894,0.06465645392696123,0.0663377186626426,2.7113623019366155,20.807380667229097
0,20251640,sobol,Sobol,1000,2,0.003567798220105972,10000,0.004614308073111758,0.02045174568378616,0.01839466030587608,2.8776379266344687,60.66071668608948
0,20251726,lhs,Uniform Projection (LHS),10,2,0.20626542083909571,2000,0.12746723720214062,0.22169257698254322,0.19020564108740673,2.3836360028610644,5.515740050825742
0,20251733,lhs,Uniform Projection (LHS),100,2,0.054285292967441834,2000,0.016100174361450906,0.057901518481810195,0.05158466937098069,2.803150841093782,27.96500626475677
0,20251740,lhs,Uniform Projection (LHS),1000,2,0.016275434722024307,10000,0.0011253968001273997,0.01582949265498591,0.015106214617518189,2.956185571087815,239.8920687781368
1,20261326,random,Random,10,2,0.27433735746107557,2000,0.160915563752091,0.21974821075019452,0.16568521425452074,2.3152365777951225,4.6982975671337375
1,20261333,random,Random,100,2,0.1530344634836145,2000,0.012060366237778735,0.05247692804119653,0.047103285877552144,3.033808748814209,37.48510379876898
1,20261340,random,Random,1000,2,0.03526532962557177,10000,7.865299249083072e-05,0.015815908866703126,0.015034140440535922,3.0001648166073123,3423.1915385448206
1,20261426,addrec,Additive Recurrence,10,2,0.20916003227604063,2000,0.15989245196477406,0.2388709974842516,0.1598924519647747,2.144503184395786,4.7716237866474
1,20261433,addrec,Additive Recurrence,100,2,0.03875126361921255,2000,0.022264041779168135,0.02573110124592224,0.022264041779172378,3.015853804816635,28.743232430853972
1,20261440,addrec,Additive Recurrence,1000,2,0.006046916059616714,10000,0.022264041779120804,0.022295493830857573,0.02226404177915676,2.8863596993630316,24.002913276232977
1,20261526,halton,Halton,10,2,0.2501324713202341,2000,0.16724436914989288,0.23828010262931681,0.25496610764841415,2.1168716206994027,4.159823168438739
1,20261533,halton,Halton,100,2,0.03027596776718902,2000,0.03360027217562192,0.06858453599156744,0.06808757793763824,2.6916539175276943,14.375144548467595
1,20261540,halton,Halton,1000,2,0.0042112391822896195,10000,0.0020733733012813873,0.021122303600103413,0.02123643339753955,2.8767843631912746,145.05630838487707
1,20261626,sobol,Sobol,10,2,0.2890091307764551,2000,0.19909809582847118,0.2760000966628174,0.27169725257985744,1.9993789649625417,3.5080258533812048
1,20261633,sobol,Sobol,100,2,0.02983007104693436,2000,0.027316037168264366,0.06694111074537999,0.0673645645696917,2.6982130403141866,16.794982713856275
1,20261640,sobol,Sobol,1000,2,0.0038957150021861064,10000,0.009805683599886672,0.021061596225563334,0.019099338130784273,2.8742306140723115,34.16728495102841
1,20261726,lhs,Uniform Projection (LHS),10,2,0.32179716933324,2000,0.11083276388995227,0.16134030403521948,0.14196226585075078,2.6180079259651476,6.410409085326275
1,20261733,lhs,Uniform Projection (LHS),100,2,0.043623406966246364,2000,0.023309432620523783,0.05732863153322472,0.0496462822223577,2.8067591172959507,20.63416572229718
1,20261740,lhs,Uniform Projection (LHS),1000,2,0.014098052625699298,10000,0.002150548606656988,0.016130411129514955,0.01530911242719422,2.9407305482014285,128.4139261285846
2,20271326,random,Random,10,2,0.3075032137362709,2000,0.08234368067243832,0.13915960418970358,0.14558419383245907,2.5469636226936467,8.632212104105525
2,20271333,random,Random,100,2,0.16242588318588674,2000,0.00321642185545822,0.047078527632115834,0.042304817341805245,3.2221455842549958,136.9966876285196
2,20271340,random,Random,1000,2,0.029424920097791685,10000,0.000993213979919271,0.01596647946973986,0.015187436946673773,2.94257068762464,280.27791723235913
2,20271426,addrec,Additive Recurrence,10,2,0.20296590621946264,2000,0.15989245196477375,0.2614808991512453,0.3120100574971904,2.1589730077499043,4.582672585023069
2,20271433,addrec,Additive Recurrence,100,2,0.04245625276808043,2000,0.022264041779167444,0.025311170693634467,0.022264041779170383,3.0132219025399265,28.743232430934704
2,20271440,addrec,Additive Recurrence,1000,2,0.006096326635790426,10000,0.022264041779120804,0.02228500981362461,0.02226404177915676,2.8857100160494493,24.005428306625628
